Length,Left,Right,Bottom,Top,Diagonal,Source
215.2,130.1,129.9,7.9,10.8,141.3, counterfeit
215.4,130.7,130.2,9,11.1,141.2, counterfeit
215.1,129.9,129.6,8.9,10.2,141.5, counterfeit
215.2,129.9,129.7,8.7,9.5,141.6, counterfeit
215,129.6,129.2,8.4,10.2,142.1, counterfeit
214.9,130.3,129.9,7.4,11.2,141.5, counterfeit
215,129.9,129.7,8,10.5,142, counterfeit
214.7,129.7,129.3,8.6,9.6,141.6, counterfeit
215.4,130,129.9,8.5,9.7,141.4, counterfeit
214.9,129.4,129.5,8.2,9.9,141.5, counterfeit
214.5,129.5,129.3,7.4,10.7,141.5, counterfeit
214.7,129.6,129.5,8.3,10,142, counterfeit
215.6,129.9,129.9,9,9.5,141.7, counterfeit
215,130.4,130.3,9.1,10.2,141.1, counterfeit
214.4,129.7,129.5,8,10.3,141.2, counterfeit
215.1,130,129.8,9.1,10.2,141.5, counterfeit
214.7,130,129.4,7.8,10,141.2, counterfeit
